geometry
POINT (37.80691664364083 55.6662363646527)
POINT (37.58211284566135 55.85444013796397)
POINT (37.6013371117514 55.4773936128927)
POINT (37.53802014939463 55.73961391876428)
POINT (37.67318050161727 55.66090019258154)
POINT (37.46713422915731 55.64218913153252)
POINT (37.64328518190839 55.93586961934901)
POINT (37.61806078718213 55.8767800067702)
POINT (37.5299890467446 55.794682380425)
POINT (37.49931680699966 55.91636282714138)
POINT (37.59364640386506 55.95150945878365)
POINT (37.64068888330771 55.83252538866943)
POINT (37.38653556454101 55.80717346999008)
POINT (37.79424198078405 55.76141862539428)
POINT (37.63709137188576 55.72841049886836)
POINT (37.69176999420558 55.58683109650602)
POINT (37.69987697349458 55.63690815743062)
POINT (37.46046851291102 55.78740919293637)
POINT (37.76603985288968 55.66062445141558)
POINT (37.87390080191753 55.71056219753174)
POINT (37.57582508104323 55.52097071733389)
POINT (37.82598895867782 55.70383750262121)
POINT (37.35432217054932 55.75136896161553)
POINT (37.43942398629367 55.49638893696009)
POINT (37.47476647874826 55.56839160236744)
POINT (37.65314101413085 55.3448526275763)
POINT (37.52639941092981 55.87943763759809)
POINT (37.83003845933175 55.90406427438069)
POINT (37.70861085074023 55.53065848115324)
POINT (37.83097280734427 55.58284198737099)
POINT (37.49726067408183 55.94611962698253)
POINT (37.53250078396516 55.83032597541973)
POINT (37.4639485650163 55.77436364975906)
POINT (37.71226260229646 55.80056426298581)
POINT (37.64915796481527 55.7128626459342)
POINT (37.59906872985982 55.86746074743392)
POINT (37.5927293016934 55.71252076716792)
POINT (37.4349977813441 55.75851827149772)
POINT (37.81504554658957 56.0170802202885)
POINT (37.43978481779239 55.83421022788448)
POINT (37.30513753424921 55.24786226296612)
POINT (37.79284861136354 55.79322537276244)
POINT (37.7401238052276 55.47189345927467)
POINT (37.5501024816233 55.79084733225108)
POINT (37.38936422730829 55.39326538071924)
POINT (37.59544355925462 55.67593957164426)
POINT (37.48074720173258 55.65928910310918)
POINT (37.56856506703352 55.76176323911089)
POINT (37.67287654331822 55.92152130199583)
POINT (37.582698230945 55.73030225263469)
POINT (37.49691005731441 55.85132845849776)
